id,CFA,CFA_sub,OA,OA_sub
28391,0,,1,B
28392,0,,1,B
28393,0,,1,B
28394,0,,1,B
28395,0,,1,B
28396,0,,1,B
28397,0,,1,B
28398,0,,1,B
28399,0,,1,B
28400,0,,1,B
28401,0,,1,B
28402,0,,1,B
28403,0,,1,B
28404,0,,1,B
28405,0,,1,B
28406,0,,1,B
28407,0,,1,B
28408,0,,1,B
28409,0,,1,B
28410,0,,1,B
28411,0,,1,B
28412,0,,1,B
28413,0,,1,B
28414,0,,1,B
28415,0,,1,B
28416,0,,1,B
28417,0,,1,B
28418,0,,1,B
28419,0,,1,B
28420,0,,1,B
28421,0,,1,B
28422,0,,1,B
28423,0,,1,B
28424,0,,1,B
28425,0,,1,B
28426,0,,1,B
28427,0,,1,B
28428,0,,1,B
28429,0,,1,B
28430,0,,1,B
28431,0,,1,B
28432,0,,1,B
28433,0,,1,B
28434,0,,1,B
28435,0,,1,B
28436,0,,1,B
28437,0,,1,B
28438,0,,1,B
28439,0,,1,B
28440,0,,1,B
28441,0,,1,B
28442,0,,1,B
28443,0,,1,B
28444,0,,1,B
28445,0,,1,B
28446,0,,1,B
28447,0,,1,B
28448,0,,1,B
28449,0,,1,B
28450,0,,1,B
28451,0,,1,B
28452,0,,1,B
28453,0,,1,B
28454,0,,1,B
28455,0,,1,B
28456,0,,1,B
28457,0,,1,B
28458,0,,1,B
28459,0,,1,B
28460,0,,1,B
28461,0,,1,B
28462,0,,1,B
28463,0,,1,B
28464,0,,1,B
28465,0,,1,B
28466,0,,1,B
28467,0,,1,B
28468,0,,1,B
28469,0,,1,B
28470,0,,1,B
28471,0,,1,B
28472,0,,1,B
28473,0,,1,B
28474,0,,1,B
28475,0,,1,B
28476,0,,1,B
28477,0,,1,B
28478,0,,1,B
28479,0,,1,B
28480,0,,1,B
